split,subject,protocol,tau,gated,coverage,selective_risk,n_windows
within/s01/d04_t02,s01,within-session,0.8,True,0.7503382949932341,0.02374511571986775,4434
within/s01/d04_t02,s01,within-session,0.85,True,0.6851601262967975,0.014483212639894667,4434
within/s01/d04_t02,s01,within-session,0.9,True,0.600360847992783,0.0067618332081141996,4434
within/s01/d04_t02,s01,within-session,0.95,True,0.4704555705908886,0.0023969319271332696,4434
within/s01/d04_t02,s01,within-session,0.99,True,0.22372575552548488,0.0,4434
within/s01/d05_t01,s01,within-session,0.5,False,1.0,0.06690218591300508,4529
within/s01/d05_t01,s01,within-session,0.55,True,0.9772576727754472,0.058291911432444644,4529
within/s01/d05_t01,s01,within-session,0.6,True,0.9571649370722014,0.05074971164936563,4529
within/s01/d05_t01,s01,within-session,0.65,True,0.9302274232722455,0.04296225967244244,4529
within/s01/d05_t01,s01,within-session,0.7,True,0.9039523073526164,0.0361504640937958,4529
within/s01/d05_t01,s01,within-session,0.75,True,0.874806800618238,0.0292781423523473,4529
within/s01/d05_t01,s01,within-session,0.8,True,0.8385957164937072,0.025013164823591363,4529
within/s01/d05_t01,s01,within-session,0.85,True,0.794435857805255,0.018343524180100056,4529
within/s01/d05_t01,s01,within-session,0.9,True,0.7341576506955177,0.013233082706766918,4529
within/s01/d05_t01,s01,within-session,0.95,True,0.6233164053875028,0.0038965639390719092,4529
within/s01/d05_t01,s01,within-session,0.99,True,0.3775667917862663,0.0017543859649122807,4529
within/s01/d05_t02,s01,within-session,0.5,False,1.0,0.0577260755048288,4556
within/s01/d05_t02,s01,within-session,0.55,True,0.9813432835820896,0.05054797584433013,4556
within/s01/d05_t02,s01,within-session,0.6,True,0.963784021071115,0.04395354133454794,4556
within/s01/d05_t02,s01,within-session,0.65,True,0.9427129060579456,0.03538998835855646,4556
within/s01/d05_t02,s01,within-session,0.7,True,0.9214223002633889,0.03001429252024774,4556
within/s01/d05_t02,s01,within-session,0.75,True,0.8983757682177349,0.024187637429758123,4556
within/s01/d05_t02,s01,within-session,0.8,True,0.8676470588235294,0.018719959524411838,4556
within/s01/d05_t02,s01,within-session,0.85,True,0.83099209833187,0.014263074484944533,4556
within/s01/d05_t02,s01,within-session,0.9,True,0.7640474100087796,0.007181844297615628,4556
within/s01/d05_t02,s01,within-session,0.95,True,0.6600087796312555,0.0039906883937479215,4556
within/s01/d05_t02,s01,within-session,0.99,True,0.3821334503950834,0.0011487650775416428,4556
within/s02/d01_t01,s02,within-session,0.5,False,1.0,0.054457619675010976,4554
within/s02/d01_t01,s02,within-session,0.55,True,0.9903381642512077,0.05121951219512195,4554
within/s02/d01_t01,s02,within-session,0.6,True,0.9745278875713659,0.0448400180261379,4554
within/s02/d01_t01,s02,within-session,0.65,True,0.9606938954765042,0.042057142857142855,4554
within/s02/d01_t01,s02,within-session,0.7,True,0.9446640316205533,0.038354253835425386,4554
within/s02/d01_t01,s02,within-session,0.75,True,0.9303908651734739,0.0339863110691527,4554
within/s02/d01_t01,s02,within-session,0.8,True,0.9077733860342556,0.029511369134010642,4554
within/s02/d01_t01,s02,within-session,0.85,True,0.8737373737373737,0.023372706710228702,4554
within/s02/d01_t01,s02,within-session,0.9,True,0.8258673693456302,0.018877957989896305,4554
within/s02/d01_t01,s02,within-session,0.95,True,0.7314448836187967,0.012008405884118884,4554
within/s02/d01_t01,s02,within-session,0.99,True,0.4762845849802372,0.003227293683725219,4554
within/s02/d01_t02,s02,within-session,0.5,False,1.0,0.07315451119485701,4511
within/s02/d01_t02,s02,within-session,0.55,True,0.988250942141432,0.06841633019291161,4511
within/s02/d01_t02,s02,within-session,0.6,True,0.9731766792285524,0.06287015945330296,4511
within/s02/d01_t02,s02,within-session,0.65,True,0.9554422522722235,0.058932714617169375,4511
within/s02/d01_t02,s02,within-session,0.7,True,0.9385945466637109,0.055030703826169106,4511
within/s02/d01_t02,s02,within-session,0.75,True,0.9197517180226114,0.049891540130151846,4511
within/s02/d01_t02,s02,within-session,0.8,True,0.8998004876967413,0.04680955900468096,4511
within/s02/d01_t02,s02,within-session,0.85,True,0.865661715805808,0.0412291933418694,4511
within/s02/d01_t02,s02,within-session,0.9,True,0.8195522057193527,0.03462266702731945,4511
within/s02/d01_t02,s02,within-session,0.95,True,0.7330968743072489,0.02812216510432416,4511
within/s02/d01_t02,s02,within-session,0.99,True,0.521613832853026,0.017424564385890354,4511
within/s02/d02_t01,s02,within-session,0.5,False,1.0,0.058216168717047455,4552
within/s02/d02_t01,s02,within-session,0.55,True,0.9901142355008787,0.0548036387841136,4552
within/s02/d02_t01,s02,within-session,0.6,True,0.9811072056239016,0.052619793999104346,4552
within/s02/d02_t01,s02,within-session,0.65,True,0.9707820738137083,0.04955872369314324,4552
within/s02/d02_t01,s02,within-session,0.7,True,0.9630931458699473,0.04744525547445255,4552
within/s02/d02_t01,s02,within-session,0.75,True,0.9496924428822495,0.04510756419153366,4552
within/s02/d02_t01,s02,within-session,0.8,True,0.9340949033391915,0.03998118532455315,4552
within/s02/d02_t01,s02,within-session,0.85,True,0.9173989455184535,0.036159003831417624,4552
within/s02/d02_t01,s02,within-session,0.9,True,0.8824692442882249,0.032362459546925564,4552
within/s02/d02_t01,s02,within-session,0.95,True,0.8301845342706503,0.028578989150568935,4552
within/s02/d02_t01,s02,within-session,0.99,True,0.6359841827768014,0.014853195164075994,4552
within/s02/d02_t02,s02,within-session,0.5,False,1.0,0.14114114114114115,666
within/s02/d02_t02,s02,within-session,0.55,True,0.9519519519519519,0.1309148264984227,666
within/s02/d02_t02,s02,within-session,0.6,True,0.9069069069069069,0.10927152317880795,666
within/s02/d02_t02,s02,within-session,0.65,True,0.8663663663663663,0.09012131715771231,666
within/s02/d02_t02,s02,within-session,0.7,True,0.8213213213213213,0.06764168190127971,666
within/s02/d02_t02,s02,within-session,0.75,True,0.7642642642642643,0.05108055009823183,666
within/s02/d02_t02,s02,within-session,0.8,True,0.6981981981981982,0.034408602150537634,666
within/s02/d02_t02,s02,within-session,0.85,True,0.6171171171171171,0.024330900243309004,666
within/s02/d02_t02,s02,within-session,0.9,True,0.503003003003003,0.014925373134328358,666
within/s02/d02_t02,s02,within-session,0.95,True,0.3258258258258258,0.0,666
within/s02/d02_t02,s02,within-session,0.99,True,0.07207207207207207,0.0,666
within/s02/d03_t01,s02,within-session,0.5,False,1.0,0.03652668416447944,4572
within/s02/d03_t01,s02,within-session,0.55,True,0.9930008748906387,0.034140969162995596,4572
within/s02/d03_t01,s02,within-session,0.6,True,0.9873140857392826,0.03234381922906513,4572
