protocol,split,n_train,n_test,accuracy,balanced_accuracy,ece,brier,nll,false_assist_rate,meta_subject,meta_session,meta_split_by,meta_train_repetitions,meta_test_repetitions,meta_train_sessions,meta_test_session,meta_sessions_elapsed,meta_held_out_subject,meta_warning,meta_seed
cross-session,cross-session/s01/d01_t02,13580,13666,0.38050636616420314,0.3022920186044038,0.187380290331825,0.7900216917179461,1.919695199116965,0.021586418849699987,s01,,,,,d01_t01,d01_t02,1,,,
cross-session,cross-session/s01/d02_t01,13580,13611,0.43714642568510764,0.3580061393786551,0.07842567542121956,0.6659622698883425,1.513575354997037,0.008595988538681949,s01,,,,,d01_t01,d02_t01,2,,,
cross-session,cross-session/s01/d02_t02,13580,13531,0.44593895499224007,0.38219265493743687,0.03643789886800624,0.6667523492893909,1.4953885121911952,0.03222230433818639,s01,,,,,d01_t01,d02_t02,3,,,
cross-session,cross-session/s01/d03_t01,13580,13571,0.4479404612777246,0.3540773139588492,0.09860748996241075,0.6460181309247865,1.4263815449209876,0.01127404023284946,s01,,,,,d01_t01,d03_t01,4,,,
cross-session,cross-session/s01/d03_t02,13580,13590,0.4287711552612215,0.3310385390234657,0.08716882577365956,0.6772284244347565,1.608809211516981,0.016777041942604858,s01,,,,,d01_t01,d03_t02,5,,,
cross-session,cross-session/s01/d04_t01,13580,13182,0.48687604308906085,0.41731116975105526,0.050996574455564526,0.631566025329713,1.420043953543382,0.010165377029282354,s01,,,,,d01_t01,d04_t01,6,,,
cross-session,cross-session/s01/d04_t02,13580,13377,0.43156163564326827,0.36660169630521744,0.09186994089267968,0.6995696628194867,1.5313406943644736,0.0304253569559692,s01,,,,,d01_t01,d04_t02,7,,,
cross-session,cross-session/s01/d05_t01,13580,13583,0.4346609732754178,0.34599125041050083,0.09833351476239371,0.690041749637495,1.5777083207435654,0.008687329750423323,s01,,,,,d01_t01,d05_t01,8,,,
cross-session,cross-session/s01/d05_t02,13580,13628,0.44034341062518345,0.3697171865296172,0.05975228804905717,0.6864587787755176,1.5967032538032662,0.023701203404754918,s01,,,,,d01_t01,d05_t02,9,,,
cross-session,cross-session/s02/d01_t02,13611,13601,0.48158223660024996,0.39490651963264956,0.1932216833247552,0.6740665721557153,1.6111096661291662,0.011616792882876259,s02,,,,,d01_t01,d01_t02,1,,,
cross-session,cross-session/s02/d02_t01,13611,13607,0.40141103843609904,0.3233882167462962,0.22590009808692488,0.7826763584540221,1.9425668290364784,0.004482986698023076,s02,,,,,d01_t01,d02_t01,2,,,
cross-session,cross-session/s02/d02_t02,13611,1959,0.45176110260336905,0.602172621354207,0.22810744019983453,0.7452934369285074,1.4216566127796837,0.026544155181214904,s02,,,,,d01_t01,d02_t02,3,,,
cross-session,cross-session/s02/d03_t01,13611,13665,0.43476033662641783,0.3531413897059562,0.22176804544801948,0.7651747433238819,2.102655352773465,0.0018294914013904135,s02,,,,,d01_t01,d03_t01,4,,,
cross-session,cross-session/s02/d03_t02,13611,13568,0.3909935141509434,0.3046664428120323,0.24751328360852776,0.7875285552053475,1.984298321621704,0.0010318396226415094,s02,,,,,d01_t01,d03_t02,5,,,
cross-session,cross-session/s02/d04_t01,13611,13623,0.4194377156279821,0.3289940360714489,0.2429566823417274,0.7919011746674978,2.2525819859886367,0.010056522058283784,s02,,,,,d01_t01,d04_t01,6,,,
cross-session,cross-session/s02/d04_t02,13611,13576,0.4381997642899234,0.3505992370332971,0.24113372546968115,0.7297960673056791,1.7120124349289774,0.0003682969946965233,s02,,,,,d01_t01,d04_t02,7,,,
cross-session,cross-session/s02/d05_t01,13611,13603,0.37741674630596195,0.2914238088190061,0.28367302479247913,0.8055609975259563,2.1016021161500693,0.0034551201940748364,s02,,,,,d01_t01,d05_t01,8,,,
cross-session,cross-session/s02/d05_t02,13611,13613,0.39638580768383164,0.2819403624727562,0.2744180667810129,0.7830331597260093,1.9296664824411451,0.0017630206420333504,s02,,,,,d01_t01,d05_t02,9,,,
cross-subject,cross-subject/s01,124426,135319,0.38133595430057865,0.2938985026708746,0.12088743683855326,0.7297655775960205,2.0707661754544375,0.019095618501466904,,,,,,,,,s01,,
cross-subject,cross-subject/s02,135319,124426,0.34886599263819457,0.2518932463020366,0.2862832936768397,0.8896993561451744,2.818084657693155,0.008044942375387781,,,,,,,,,s02,,
random-shuffle,random-shuffle/control,181821,77924,0.4251706791232483,0.3434485988123344,0.024229602940418614,0.6696420075476408,1.511033979272161,0.01842821210410143,,,,,,,,,,leaky by construction — control condition only,0
