protocol,split,n_train,n_test,accuracy,balanced_accuracy,ece,brier,nll,false_assist_rate,meta_subject,meta_session,meta_split_by,meta_train_repetitions,meta_test_repetitions,meta_train_sessions,meta_test_session,meta_sessions_elapsed,meta_held_out_subject,meta_warning,meta_seed
within-session,within/s02/d01_t01,9057,4554,0.9754062362758015,0.9724976703909036,0.0024266830763922847,0.01956155551357313,0.07861827635589348,0.009881422924901186,s02,d01_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d01_t02,9090,4511,0.9419197517180226,0.9333576671518622,0.007166511183777276,0.043424633221764763,0.17457999552805623,0.02349811571713589,s02,d01_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d02_t01,9055,4552,0.9481546572934973,0.9281550302678532,0.016227145542462913,0.042905760362228554,0.17327806798296624,0.025043936731107205,s02,d02_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d02_t02,1293,666,0.8618618618618619,0.6406559864801945,0.02730902063004868,0.09337258212344098,0.29802558469192064,0.10510510510510511,s02,d02_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d03_t01,9093,4572,0.9770341207349081,0.9807820739359704,0.005353664368102337,0.021360314874858833,0.09199367045600887,0.0028433945756780404,s02,d03_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d03_t02,9039,4529,0.9708544932656216,0.9671970796657482,0.005909852876228486,0.02181703013029596,0.08315780473191482,0.009715168911459484,s02,d03_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d04_t01,9073,4550,0.9606593406593407,0.9666018603005346,0.007713819571521263,0.029725761963899738,0.10470702721674498,0.005494505494505495,s02,d04_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d04_t02,9052,4524,0.9931476569407603,0.9934078091691627,0.00831091072484545,0.005950291615210912,0.02515115868077801,0.0015473032714412025,s02,d04_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d05_t01,9056,4547,0.9590939080712557,0.9644207321378049,0.012775998853068026,0.030774532021930166,0.11357398261521442,0.00615790631185397,s02,d05_t01,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
within-session,within/s02/d05_t02,9088,4525,0.9624309392265193,0.9498190000196038,0.0153082507054219,0.03130288286926935,0.1419996820704885,0.019226519337016575,s02,d05_t02,repetition,"1,2,3,4,5,6,7,8","9,10,11,12",,,,,,
cross-session,cross-session/s01/d01_t02,13580,13666,0.942997219376555,0.8891203585739056,0.018597077089594533,0.04298426292348397,0.15921500300178634,0.05049026781794234,s01,,,,,d01_t01,d01_t02,1,,,
cross-session,cross-session/s01/d02_t01,13580,13611,0.9797222834472118,0.9708609335577931,0.009848251445828241,0.01773087656830987,0.06839575108735871,0.01109396811402542,s01,,,,,d01_t01,d02_t01,2,,,
cross-session,cross-session/s01/d02_t02,13580,13531,0.9600177370482595,0.9464501494302262,0.004331408340903061,0.029431998815362445,0.10573328749424857,0.019141231246766685,s01,,,,,d01_t01,d02_t02,3,,,
cross-session,cross-session/s01/d03_t01,13580,13571,0.9686095350379486,0.9710983117502352,0.008722439944088854,0.024277182230999887,0.08700174113606982,0.0061896691474467615,s01,,,,,d01_t01,d03_t01,4,,,
cross-session,cross-session/s01/d03_t02,13580,13590,0.8997056659308315,0.9208647787768003,0.034705029524638005,0.06322805590651286,0.19609185490366282,0.009050772626931568,s01,,,,,d01_t01,d03_t02,5,,,
cross-session,cross-session/s01/d04_t01,13580,13182,0.9379456835078137,0.9423253658996577,0.01369058214991833,0.04196143129824652,0.13435494900424733,0.011758458504020634,s01,,,,,d01_t01,d04_t01,6,,,
