subject,task,model,within_bal,cross_bal,within_ece,cross_ece,within_unsafe,cross_unsafe,within_avail,cross_avail,d_bal,d_ece,ece_ratio
s07,multi,lda,0.34657282131899375,0.18377232169478816,0.07551292085498561,0.3515091986167207,0.017733084865679587,0.02990662971636134,0.2990167492699941,0.5085386677370612,0.1628004996242056,0.2759962777617351,4.654954339426971
s07,multi,logreg,0.3612572398863086,0.19638339161185214,0.04379063068404203,0.3124045604225245,0.010613387354501057,0.03505534443149833,0.2155140242694848,0.4578844954518867,0.16487384827445645,0.26861392973848247,7.134050264692111
s08,binary,lda,0.7897139982305456,0.6683153597148423,0.04003357807817063,0.05577290505429876,0.09021124084257695,0.16387477456721566,0.8802368165425773,0.8662165988326526,0.1213986385157032,0.015739326976128128,1.3931531412304716
s08,binary,logreg,0.8060133944714515,0.6990541198705021,0.04978012131673974,0.06516621648939956,0.07812208202427433,0.1368511712846471,0.8705207003943991,0.8389077727857539,0.10695927460094934,0.01538609517265982,1.3090811104047246
s08,multi,lda,0.35609194826191526,0.1876450249787679,0.08145969775741616,0.20495846842563661,0.024962862177486448,0.06507364882664363,0.29727958932500015,0.2255969520510206,0.16844692328314737,0.12349877066822046,2.516072046277351
s08,multi,logreg,0.35845033677453975,0.18456441427712333,0.051620800983788205,0.16348755232086157,0.018922345992502473,0.05036462234004949,0.23722409471350198,0.1584361706404618,0.1738859224974164,0.11186675133707336,3.167086701583839
s09,binary,lda,0.7397756387907636,0.6345490340265892,0.05558224742300226,0.09625949138513608,0.12458970126695701,0.22581019418681766,0.86905217549117,0.9468605529604948,0.10522660476417434,0.04067724396213382,1.7318387767332322
s09,binary,logreg,0.7758827441155598,0.6202449790996162,0.06299413160424266,0.119980692013308,0.10017088921747522,0.236356931977695,0.8588170272571632,0.9483318997261581,0.15563776501594362,0.05698656040906533,1.9046328436921778
s09,multi,lda,0.3384408803190403,0.22164789114122993,0.06367263217439491,0.19410091390753972,0.02272376023001225,0.08201887602119257,0.2664322962643949,0.475141400066969,0.11679298917781036,0.1304282817331448,3.048419819930026
s09,multi,logreg,0.3570220820991525,0.22465453973830446,0.04548467197369312,0.17352586427335942,0.020210053841092694,0.08259568645011023,0.24793390240713506,0.44356077747234596,0.13236754236084802,0.12804119229966632,3.8150404684400328
s10,binary,lda,0.8878369933970003,0.8331175793281764,0.016884630549836,0.05000473417770806,0.04384205637502098,0.07451564019197936,0.9552617543605473,0.9707269492186791,0.05471941406882386,0.03312010362787206,2.9615533505525087
s10,binary,logreg,0.9010838430005984,0.8511648150953223,0.02063017832581355,0.05414075441217439,0.03624121083798685,0.06329406454659224,0.9507280885389852,0.9605520089287746,0.04991902790527614,0.03351057608636084,2.624347378734515
s10,multi,lda,0.40316243239191757,0.25188686583544734,0.06131474352245566,0.3977943388068329,0.01626837233387791,0.058580308135563856,0.3429949568364953,0.8079013700342481,0.15127556655647023,0.33647959528437726,6.487743664150635
s10,multi,logreg,0.4060130973772654,0.2608508466655919,0.03532008750472896,0.303568093123858,0.007933998156156707,0.04784278643045413,0.2652449126526637,0.7514375288451758,0.1451622507116735,0.26824800561912904,8.594771830143786
