accuracy,assist_availability,balanced_accuracy,ece,meta_held_out_subject,meta_seed,meta_session,meta_sessions_elapsed,meta_split_by,meta_subject,meta_test_repetitions,meta_test_session,meta_train_repetitions,meta_train_sessions,meta_warning,n_test,n_train,protocol,split,unsafe_assist_rate
0.4781519416402623,0.29037406483790523,0.38387917989189235,0.04143181265776715,,,,4,,s01,,d03_t01,,d01_t01,,13571,13580,cross-session,cross-session/s01/d03_t01,7.36865374696043e-05
0.412214863870493,0.2549764929478844,0.3044398863818747,0.13838572953296474,,,,5,,s01,,d03_t02,,d01_t01,,13590,13580,cross-session,cross-session/s01/d03_t02,0.0016188373804267844
0.4979517523896222,0.32675831839011754,0.42912409369986015,0.0370474086181895,,,,6,,s01,,d04_t01,,d01_t01,,13182,13580,cross-session,cross-session/s01/d04_t01,0.0015930814747382794
0.4792554384391119,0.32514550656012625,0.40867595490501263,0.037308739765087764,,,,7,,s01,,d04_t02,,d01_t01,,13377,13580,cross-session,cross-session/s01/d04_t02,0.00044853106077595876
0.4594713980711183,0.25529827315541603,0.36979551618830947,0.06922848122713932,,,,8,,s01,,d05_t01,,d01_t01,,13583,13580,cross-session,cross-session/s01/d05_t01,0.0
0.4553125917229234,0.2853557293175017,0.37834696188502376,0.062242350689754686,,,,9,,s01,,d05_t02,,d01_t01,,13628,13580,cross-session,cross-session/s01/d05_t02,0.0026416201937188143
0.4894493051981472,0.6111498257839721,0.40906439931130184,0.11734748163039929,,,,1,,s02,,d01_t02,,d01_t01,,13601,13611,cross-session,cross-session/s02/d01_t02,0.0060289684582016025
0.4260307194826192,0.4496816497196617,0.35244473603749904,0.1350963201921474,,,,2,,s02,,d02_t01,,d01_t01,,13607,13611,cross-session,cross-session/s02/d02_t01,0.0014698317042698612
0.4619703930576825,0.40641711229946526,0.577824278591542,0.1770780614557697,,,,3,,s02,,d02_t02,,d01_t01,,1959,13611,cross-session,cross-session/s02/d02_t02,0.01174068402246044
0.45078668130259786,0.48781880472021316,0.3732295781245857,0.12895557780159206,,,,4,,s02,,d03_t01,,d01_t01,,13665,13611,cross-session,cross-session/s02/d03_t01,0.0011708744968898647
0.4087558962264151,0.49611808683983516,0.3257299153280768,0.15893117747672825,,,,5,,s02,,d03_t02,,d01_t01,,13568,13611,cross-session,cross-session/s02/d03_t02,0.0007370283018867925
0.4090141672172062,0.5782647145524221,0.3276467291180649,0.18033311469604815,,,,6,,s02,,d04_t01,,d01_t01,,13623,13611,cross-session,cross-session/s02/d04_t01,0.020700286280554942
0.4637595757218621,0.6768916155419223,0.3818997308886871,0.1573930049928223,,,,7,,s02,,d04_t02,,d01_t01,,13576,13611,cross-session,cross-session/s02/d04_t02,0.0011785503830288745
0.40571932661912813,0.6309169467114738,0.3299921309924693,0.1764946460230326,,,,8,,s02,,d05_t01,,d01_t01,,13603,13611,cross-session,cross-session/s02/d05_t01,0.005881055649489084
0.4103430544332623,0.6072245994626331,0.3039288520731127,0.18379538224350728,,,,9,,s02,,d05_t02,,d01_t01,,13613,13611,cross-session,cross-session/s02/d05_t02,0.009035480790420922
0.38749916863116046,0.24405076679005816,0.2936959371837199,0.1152596694549657,s01,,,,,,,,,,,135319,124426,cross-subject,cross-subject/s01,0.0008128939764556344
0.36807419671129826,0.4429665285779704,0.2743434281560674,0.2109818065963474,s02,,,,,,,,,,,124426,135319,cross-subject,cross-subject/s02,0.0022101490042274125
0.4458703351983984,0.09455938697318007,0.3610021579275372,0.015276893352580614,,0,,,,,,,,,leaky by construction — control condition only,77924,181821,random-shuffle,random-shuffle/control,0.0009881422924901185
